hh,own_quant,own_value
H00101-04-01,,
H00102-04-01,364.0,504400.0
H00104-04-01,,
H00208-04-01,,
H00209-04-01,,
H00211-04-01,,
H00213-04-01,,
H00301-04-01,,
H00302-04-01,,
H00303-04-01,,
H00304-04-01,,
H00307-04-01,,
H00312-04-01,52.0,520000.0
H00313-04-01,,
H00606-04-01,,
H00704-04-01,,
H00707-04-01,,
H00710-04-01,,
H00712-04-01,,
H00801-04-01,,
H00802-04-01,,
H00803-04-01,,
H00805-04-01,,
H00809-04-01,,
H00810-04-02,,
H00810-04-03,,
H00811-04-01,,
H01209-04-01,208.0,104000.0
H01209-04-02,,
H01209-04-03,,
H01210-04-01,,
H01401-04-01,,
H01406-04-01,,
H01409-04-01,,
H01601-04-01,,
H01604-04-01,,
H01605-04-01,,
H01607-04-01,,
H01612-04-01,,
H01801-04-01,,
H01806-04-01,,
H01806-04-02,520.0,374400.0
H01809-04-01,,
H01813-04-01,,
H02108-04-01,,
H02110-04-01,,
H02111-04-01,,
H02113-04-01,26.0,390000.0
H02203-04-01,,
H02205-04-01,,
H02206-04-01,,
H02207-04-01,5096.0,1362400.0
H02304-04-01,,
H02305-04-01,78.0,156000.0
H02310-04-01,,
H02401-04-01,,
H02407-04-01,,
H02409-04-01,,
H02412-04-01,,
H02507-04-01,,
H02601-04-01,,
H02601-04-02,,
H02602-04-01,,
H02608-04-01,,
H02608-04-02,,
H02609-04-01,,
H02703-04-02,,
H02705-04-01,,
H02705-04-02,,
H02706-04-01,,
H02710-04-01,1196.0,1144000.0
H02711-04-01,26.0,130000.0
H02711-04-02,,
H02711-04-03,,
H02802-04-01,,
H02803-04-01,,
H02811-04-01,,
H03001-04-01,,
H03003-04-01,,
H03005-04-01,260.0,520000.0
H03006-04-01,,
H03010-04-01,,
H03401-04-01,,
H03408-04-01,260.0,884000.0
H03409-04-01,,
H03409-04-02,,
H03410-04-01,104.0,156000.0
H03410-04-02,,
H03503-04-01,,
H03511-04-01,,
H03515-04-01,,
H03601-04-01,1040.0,894400.0
H03602-04-04,1690.0,2646800.0
H03603-04-05,1456.0,1367600.0
H03604-04-04,468.0,1040000.0
H03604-04-08,832.0,1575600.0
H03604-04-09,416.0,707200.0
H03605-04-02,676.0,1060800.0
H03607-04-01,1196.0,2126800.0
H03608-04-01,260.0,520000.0
H03704-04-01,364.0,780000.0
H03705-04-01,533.0,1107600.0
H03706-04-01,702.0,2418000.0
H03707-04-01,780.0,1783600.0
H03707-04-02,,
H03709-04-01,988.0,936000.0
H03711-04-02,1300.0,738400.0
H03711-04-03,234.0,322400.0
H03711-04-04,,
H03807-04-01,624.0,1170000.0
H03809-04-01,832.0,988000.0
H03810-04-01,156.0,78000.0
H03811-04-01,,
H03813-04-01,,
H03901-04-01,,
H03902-04-01,1768.0,2241200.0
H03903-04-01,832.0,1482000.0
H03906-04-01,52.0,156000.0
H03907-04-01,1105.0,1716000.0
H03908-04-01,104.0,31200.0
H03909-04-01,676.0,3068000.0
H03909-04-02,1976.0,4750200.0
H03910-04-01,1599.0,6107400.0
H04001-04-01,520.0,774800.0
H04002-04-01,650.0,1440400.0
H04003-04-01,936.0,2015000.0
H04004-04-01,208.0,416000.0
H04005-04-01,494.0,738400.0
H04006-04-01,,
H04007-04-01,260.0,540800.0
H04009-04-01,,
H04010-04-01,3926.0,2204800.0
H04010-04-02,,
H04011-04-01,1768.0,2371200.0
H04011-04-02,,
H04201-04-01,1352.0,3978000.0
H04202-04-01,52.0,312000.0
H04203-04-01,754.0,1079000.0
H04204-04-01,598.0,1300000.0
H04205-04-01,156.0,312000.0
H04206-04-01,52.0,5200.0
H04207-04-01,624.0,1014000.0
H04208-04-02,780.0,1950000.0
H04209-04-01,1781.0,2548000.0
H04210-04-01,286.0,353600.0
H04501-04-01,,
H04505-04-01,,
H04508-04-02,,
H04508-04-03,,
H04508-04-04,,
H04509-04-01,871.0,1375400.0
H04602-04-01,208.0,234000.0
H04603-04-01,624.0,1118000.0
H04604-04-01,364.0,36400.0
H04606-04-01,104.0,260000.0
H04606-04-02,1313.0,2984800.0
H04607-04-01,520.0,462800.0
H04608-04-01,520.0,644800.0
H04609-04-01,416.0,1456000.0
H04610-04-01,,
H04610-04-02,390.0,577200.0
H04610-04-03,364.0,618800.0
H04801-04-01,,
H04802-04-01,676.0,416000.0
H04802-04-02,676.0,286000.0
H04802-04-03,,
H04803-04-02,325.0,572000.0
H04804-04-01,572.0,608400.0
H04805-04-01,364.0,644800.0
H04806-04-01,2444.0,2667600.0
H04807-04-01,260.0,130000.0
H04808-04-01,364.0,800800.0
H04808-04-02,,
H04810-04-01,1404.0,384800.0
H04903-04-01,156.0,364000.0
H04905-04-01,3952.0,2953600.0
H04907-04-01,3744.0,2938000.0
H04908-04-01,1248.0,2776800.0
H04909-04-01,1261.0,2527200.0
H04910-04-01,1950.0,6825000.0
H04912-04-01,1768.0,1170000.0
H04913-04-01,624.0,728000.0
H04913-04-02,273.0,613600.0
H04913-04-03,377.0,694200.0
H04913-04-05,572.0,535600.0
H04913-04-06,832.0,1170000.0
H05002-04-01,312.0,572000.0
H05003-04-01,624.0,774800.0
H05004-04-01,2002.0,2496000.0
H05005-04-01,1872.0,1170000.0
H05006-04-01,1404.0,1648400.0
H05007-04-01,2340.0,2152800.0
H05008-04-01,832.0,1144000.0
H05009-04-01,572.0,1144000.0
H05010-04-01,832.0,1144000.0
H05101-04-01,754.0,2558400.0
H05102-04-01,949.0,1092000.0
H05103-04-01,208.0,353600.0
H05104-04-01,312.0,494000.0
H05105-04-01,572.0,1196000.0
H05106-04-01,468.0,1300000.0
H05107-04-01,260.0,119600.0
H05108-04-01,728.0,1430000.0
H05109-04-01,572.0,530400.0
H05301-04-01,,
H05302-04-01,936.0,1300000.0
H05303-04-01,1040.0,1830400.0
H05304-04-01,936.0,1216800.0
H05305-04-01,1196.0,1840800.0
H05305-04-02,,
H05305-04-03,494.0,868400.0
H05305-04-05,364.0,109200.0
H05306-04-01,1196.0,832000.0
H05306-04-02,,
H05308-04-01,2184.0,2054000.0
H05309-04-01,1118.0,2438800.0
H05310-04-01,78.0,93600.0
H05310-04-02,416.0,572000.0
H05403-04-01,1391.0,2610400.0
H05404-04-01,1768.0,1583400.0
H05405-04-01,286.0,722800.0
H05406-04-01,,
H05407-04-01,936.0,1937000.0
H05407-04-02,208.0,416000.0
H05409-04-01,858.0,2423200.0
H05410-04-01,1976.0,1877200.0
H05412-04-01,832.0,1508000.0
H05412-04-02,1040.0,2012400.0
H05412-04-03,,
H05701-04-01,676.0,161200.0
H05702-04-01,2236.0,1924000.0
H05703-04-01,832.0,1076400.0
H05704-04-01,1508.0,1159600.0
H05705-04-01,1872.0,988000.0
H05706-04-01,728.0,837200.0
H05707-04-01,1092.0,1404000.0
H05709-04-01,1092.0,748800.0
H05710-04-01,4186.0,4310800.0
H05711-04-01,676.0,852800.0
H05711-04-02,,
H05901-04-01,,
H05904-04-01,,
H05906-04-01,,
H05906-04-02,468.0,780000.0
H05910-04-01,468.0,1144000.0
H06001-04-01,728.0,582400.0
H06005-04-01,208.0,1248000.0
H06006-04-01,104.0,364000.0
H06007-04-01,,
H06008-04-01,780.0,644800.0
H06009-04-01,780.0,2652000.0
H06010-04-01,468.0,520000.0
H06101-04-01,234.0,299000.0
H06102-04-01,1300.0,2095600.0
H06103-04-01,546.0,811200.0
H06104-04-01,936.0,795600.0
H06104-04-02,,
H06104-04-03,,
H06105-04-01,2288.0,4716400.0
H06105-04-02,1612.0,5220800.0
H06107-04-01,1300.0,1326000.0
H06108-04-01,1248.0,1040000.0
H06109-04-01,1612.0,3109600.0
H06110-04-01,520.0,1209000.0
H06201-04-01,780.0,520000.0
H06203-04-01,,
H06207-04-01,1040.0,1570400.0
H06208-04-01,2548.0,1476800.0
H06209-04-01,260.0,67600.0
H06301-04-01,3536.0,2048800.0
H06303-04-01,1404.0,1846000.0
H06303-04-02,,
H06303-04-03,104.0,104000.0
H06305-04-01,572.0,572000.0
H06306-04-01,728.0,728000.0
H06307-04-01,1196.0,2184000.0
H06309-04-01,,
H06310-04-01,2340.0,4903600.0
H06310-04-02,1040.0,733200.0
H06310-04-03,,
H06401-04-01,182.0,182000.0
H06402-04-01,910.0,728000.0
H06403-04-01,520.0,629200.0
H06404-04-01,1313.0,670800.0
H06405-04-01,1820.0,1721200.0
H06406-04-01,1638.0,1201200.0
H06408-04-01,806.0,1456000.0
H06409-04-01,2860.0,2828800.0
H06410-04-01,2392.0,1638000.0
H06411-04-01,1664.0,4004000.0
H06601-04-01,,
H06602-04-01,546.0,845000.0
H06603-04-01,4472.0,2678000.0
H06604-04-01,1326.0,1071200.0
H06605-04-01,507.0,520000.0
H06606-04-01,1066.0,2410200.0
H06607-04-01,455.0,845000.0
H06608-04-01,1196.0,2657200.0
H06609-04-01,1872.0,2553200.0
H06701-04-01,780.0,1040000.0
H06702-04-01,,
H06703-04-01,1482.0,1892800.0
H06704-04-01,416.0,910000.0
H06706-04-01,520.0,1248000.0
H06707-04-01,364.0,1456000.0
H06707-04-02,,
H06708-04-01,572.0,546000.0
H06709-04-01,416.0,364000.0
H06710-04-01,,
H06801-04-01,936.0,1149200.0
H06802-04-01,702.0,1786200.0
H06803-04-01,286.0,611000.0
H06805-04-01,,
H06806-04-01,,
H06807-04-01,780.0,1471600.0
H06810-04-01,,
H06810-04-02,52.0,312000.0
H06901-04-01,,
H06902-04-01,624.0,1632800.0
H06903-04-01,52.0,15600.0
H06906-04-01,,
H06908-04-01,936.0,2028000.0
H06909-04-01,,
H06911-04-01,364.0,676000.0
H06911-04-03,,
H06914-04-01,312.0,442000.0
H07002-04-02,260.0,338000.0
H07003-04-01,,
H07007-04-01,169.0,253500.0
H07007-04-02,,
H07008-04-01,,
H07009-04-01,780.0,1544400.0
H07010-04-01,513.5,2502500.0
H07201-04-01,,
H07202-04-01,,
H07202-04-02,260.0,260000.0
H07203-04-01,780.0,1404000.0
H07204-04-01,1300.0,130000.0
H07205-04-01,364.0,364000.0
H07206-04-01,312.0,1144000.0
H07207-04-01,819.0,1315600.0
H07208-04-01,312.0,769600.0
H07208-04-02,312.0,832000.0
H07209-04-01,338.0,540800.0
H07210-04-01,728.0,2158000.0
H07302-04-01,1404.0,1497600.0
H07303-04-01,3120.0,1648400.0
H07304-04-01,1300.0,395200.0
H07304-04-02,,
H07305-04-01,104.0,52000.0
H07306-04-01,1404.0,618800.0
H07307-04-01,884.0,1726400.0
H07309-04-01,1222.0,1310400.0
H07310-04-01,1352.0,2288000.0
H07311-04-01,1456.0,462800.0
H07403-04-01,,
H07404-04-01,,
H07406-04-01,,
H07408-04-01,234.0,166400.0
H07408-04-02,208.0,884000.0
H07408-04-03,728.0,1471600.0
H07410-04-01,,
H07412-04-01,,
H07413-04-01,,
H07501-04-01,520.0,213200.0
H07502-04-01,312.0,676000.0
H07502-04-02,260.0,504400.0
H07502-04-03,,
H07502-04-04,,
H07502-04-06,520.0,1508000.0
H07502-04-07,,
H07504-04-01,988.0,3276000.0
H07506-04-01,2262.0,1835600.0
H07507-04-01,104.0,364000.0
H07508-04-01,1781.0,1466400.0
H07509-04-01,2548.0,2100800.0
H07509-04-02,208.0,312000.0
H07509-04-03,728.0,613600.0
H07509-04-04,,
H07510-04-01,2132.0,2896400.0
H08101-04-01,,
H08102-04-01,,
H08102-04-02,,
H08102-04-03,,
H08102-04-04,,
H08102-04-06,,
H08103-04-01,,
H08107-04-01,364.0,488800.0
H08114-04-01,,
H08301-04-01,52.0,1040000.0
H08302-04-01,1430.0,1487200.0
H08302-04-02,2288.0,1193400.0
H08302-04-03,2756.0,3263000.0
H08302-04-04,364.0,436800.0
H08303-04-01,7072.0,14232400.0
H08304-04-01,2574.0,1662700.0
H08305-04-01,260.0,83200.0
H08306-04-01,,
H08307-04-02,182.0,249600.0
H08307-04-03,624.0,962000.0
H08308-04-01,260.0,213200.0
H08308-04-03,728.0,728000.0
H08309-04-01,,
H08310-04-01,702.0,416000.0
H08402-04-01,572.0,473200.0
H08404-04-01,1066.0,1292200.0
H08405-04-01,832.0,1222000.0
H08406-04-01,364.0,780000.0
H08406-04-02,832.0,1300000.0
H08406-04-04,728.0,1404000.0
H08408-04-01,546.0,650000.0
H08409-04-01,1092.0,1799200.0
H08409-04-02,390.0,1466400.0
H08410-04-01,1508.0,3047200.0
H08411-04-01,,
H08501-04-01,546.0,618800.0
H08502-04-01,754.0,1456000.0
H08503-04-01,299.0,318500.0
H08503-04-02,,
H08503-04-03,936.0,598000.0
H08504-04-01,676.0,962000.0
H08505-04-01,1664.0,2371200.0
H08506-04-01,780.0,837200.0
H08507-04-01,1300.0,1289600.0
H08508-04-01,1248.0,1721200.0
H08509-04-01,312.0,338000.0
H08510-04-01,351.0,800800.0
H08510-04-02,,
H08602-04-01,624.0,312000.0
H08602-04-02,1144.0,738400.0
H08602-04-03,208.0,104000.0
H08603-04-01,3068.0,4089800.0
H08605-04-01,,
H08609-04-01,858.0,585000.0
H08611-04-01,728.0,1040000.0
H08701-04-01,208.0,20800.0
H08703-04-01,312.0,1872000.0
H08704-04-01,364.0,109200.0
H08706-04-01,884.0,3718000.0
H08707-04-01,650.0,1950000.0
H08708-04-01,1300.0,2314000.0
H08708-04-02,676.0,1934400.0
H08709-04-01,390.0,873600.0
H08710-04-01,858.0,582400.0
H08801-04-01,494.0,348400.0
H08802-04-01,624.0,1242800.0
H08802-04-02,468.0,1123200.0
H08803-04-01,3731.0,1508000.0
H08804-04-01,390.0,286000.0
H08805-04-01,2756.0,1939600.0
H08806-04-01,1794.0,3411200.0
H08810-04-01,234.0,278200.0
H08811-04-01,1664.0,878800.0
H09001-04-01,156.0,364000.0
H09001-04-02,,
H09003-04-01,416.0,1014000.0
H09004-04-01,104.0,31200.0
H09004-04-02,,
H09005-04-01,234.0,182000.0
H09007-04-01,1404.0,3218800.0
H09008-04-01,806.0,1586000.0
H09008-04-02,,
H09009-04-01,,
H09009-04-02,,
H09010-04-01,260.0,1014000.0
H09011-04-01,,
H09101-04-01,988.0,1950000.0
H09102-04-01,1248.0,1726400.0
H09103-04-01,702.0,1630200.0
H09105-04-01,1144.0,3062800.0
H09105-04-02,572.0,592800.0
H09106-04-01,260.0,572000.0
H09106-04-02,,
H09107-04-01,468.0,520000.0
H09108-04-01,546.0,1508000.0
H09109-04-01,1300.0,1445600.0
H09110-04-01,1248.0,1794000.0
H09111-04-01,1040.0,1216800.0
H09203-04-01,936.0,390000.0
H09206-04-01,364.0,182000.0
H09208-04-01,1040.0,665600.0
H09209-04-01,676.0,499200.0
H09210-04-01,936.0,1497600.0
H09403-04-01,,
H09403-04-02,,
H09410-04-01,,
H09504-04-01,52.0,1040000.0
H09505-04-01,156.0,156000.0
H09509-04-01,,
H09510-04-01,1404.0,655200.0
H09513-04-01,,
H09514-04-01,,
H09604-04-01,156.0,260000.0
H09605-04-01,,
H09608-04-01,,
H09609-04-01,,
H09610-04-01,26.0,520000.0
H09613-04-01,104.0,31200.0
H09701-04-01,,
H09705-04-01,,
H09706-04-01,,
H09710-04-01,,
H09901-04-01,,
H09903-04-01,,
H09905-04-01,,
H09906-04-01,,
H09908-04-01,,
H09909-04-01,104.0,119600.0
H09910-04-01,,
H10002-04-01,,
H10003-04-01,156.0,124800.0
H10004-04-01,,
H10007-04-01,,
H10007-04-02,,
H10009-04-01,,
H10009-04-02,,
H10010-04-01,624.0,1586000.0
H10011-04-01,,
H10201-04-01,624.0,468000.0
H10201-04-02,,
H10205-04-01,,
H10207-04-01,,
H10209-04-01,,
H10210-04-01,312.0,15600.0
H10304-04-01,,
H10306-04-01,,
H10309-04-01,39.0,187200.0
H10311-04-01,,
H10312-04-01,,
H10701-04-01,5902.0,1097200.0
H10701-04-02,754.0,104000.0
H10701-04-03,,
H10702-04-01,2964.0,1495000.0
H10703-04-01,2730.0,1170000.0
H10704-04-01,3692.0,2984800.0
H10704-04-02,2678.0,2483000.0
H10706-04-01,3120.0,743600.0
H10706-04-02,1066.0,894400.0
H10707-04-01,2444.0,1565200.0
H10708-04-01,832.0,1115400.0
H10709-04-01,3796.0,2054000.0
H10710-04-01,5278.0,1237600.0
H10710-04-03,,
H10710-04-04,78.0,117000.0
H10710-04-05,832.0,925600.0
H10801-04-01,65.0,65000.0
H10802-04-01,1508.0,1773200.0
H10803-04-01,1352.0,457600.0
H10803-04-02,52.0,104000.0
H10803-04-03,247.0,169000.0
H10804-04-01,780.0,832000.0
H10805-04-01,130.0,176800.0
H10806-04-01,1118.0,1372800.0
H10807-04-01,26.0,59800.0
H10807-04-02,312.0,338000.0
H10809-04-01,364.0,72800.0
H10810-04-01,,
H10902-04-01,,
H10904-04-01,312.0,442000.0
H10905-04-01,2522.0,1357200.0
H10906-04-01,2808.0,1383200.0
H10908-04-01,468.0,468000.0
H10909-04-01,4966.0,4630600.0
H10909-04-02,4576.0,1778400.0
H10909-04-03,,
H10909-04-04,,
H10910-04-01,2080.0,1112800.0
H11001-04-01,416.0,275600.0
H11002-04-01,468.0,301600.0
H11003-04-01,,
H11006-04-01,260.0,260000.0
H11007-04-01,624.0,468000.0
H11009-04-01,2704.0,655200.0
H11010-04-01,1352.0,551200.0
H11011-04-01,728.0,265200.0
H11403-04-01,,
H11405-04-01,,
H11406-04-01,,
H11409-04-01,,
H11414-04-01,,
H11501-04-01,,
H11502-04-02,,
H11504-04-01,,
H11505-04-01,936.0,187200.0
H11506-04-01,52.0,780000.0
H11506-04-02,,
H11506-04-03,,
H11507-04-01,104.0,52000.0
H11509-04-01,,
H11510-04-01,1144.0,473200.0
H11801-04-01,3900.0,3083600.0
H11804-04-01,2340.0,2485600.0
H11805-04-01,936.0,187200.0
H11806-04-01,1040.0,104000.0
H11807-04-01,416.0,286000.0
H11808-04-01,611.0,1193400.0
H11808-04-02,1716.0,1898000.0
H11809-04-01,572.0,624000.0
H11810-04-01,1066.0,803400.0
H11901-04-01,1170.0,1089400.0
H11902-04-01,156.0,31200.0
H11903-04-01,,
H11903-04-02,,
H11905-04-01,936.0,1326000.0
H11907-04-01,598.0,949000.0
H11908-04-01,2912.0,1424800.0
H11910-04-01,546.0,988000.0
H12001-04-01,156.0,78000.0
H12003-04-01,2860.0,4882800.0
H12003-04-02,2704.0,1268800.0
H12005-04-01,780.0,650000.0
H12007-04-01,1456.0,821600.0
H12008-04-01,2626.0,1125800.0
H12009-04-01,1404.0,509600.0
H12010-04-01,3900.0,608400.0
H12011-04-01,988.0,1398800.0
H12303-04-01,,
H12306-04-01,,
H12310-04-01,,
H12311-04-01,390.0,286000.0
H12401-04-01,,
H12402-04-01,,
H12404-04-01,,
H12407-04-01,,
H12407-04-02,,
H12408-04-01,988.0,98800.0
H12409-04-01,624.0,1840800.0
H12411-04-01,3224.0,1372800.0
H12501-04-01,1768.0,702000.0
H12502-04-01,2288.0,3666000.0
H12504-04-01,182.0,572000.0
H12505-04-01,832.0,478400.0
H12506-04-01,10023.0,2012400.0
H12507-04-01,3536.0,1612000.0
H12509-04-01,4108.0,1294800.0
H12510-04-01,3328.0,1937000.0
H12512-04-01,1534.0,1289600.0
H12601-04-01,1222.0,1216800.0
H12603-04-01,988.0,1378000.0
H12604-04-01,364.0,400400.0
H12605-04-01,988.0,1768000.0
H12606-04-01,624.0,358800.0
H12606-04-02,364.0,114400.0
H12607-04-01,1248.0,1508000.0
H12610-04-01,624.0,436800.0
H12610-04-02,104.0,104000.0
H12611-04-01,260.0,26000.0
H12701-04-01,104.0,234000.0
H12701-04-02,78.0,223600.0
H12703-04-01,936.0,769600.0
H12704-04-01,1118.0,2210000.0
H12705-04-01,1001.0,1950000.0
H12706-04-01,1456.0,1164800.0
H12707-04-01,728.0,72800.0
H12708-04-01,3822.0,1627600.0
H12709-04-01,1872.0,2288000.0
H12710-04-01,390.0,572000.0
H12805-04-01,650.0,384800.0
H12805-04-02,,
H12806-04-01,624.0,260000.0
H12808-04-01,728.0,858000.0
H12809-04-01,41.600000619888306,200200.0
H12809-04-02,,
H12809-04-03,208.0,416000.0
H12810-04-01,208.0,312000.0
H12811-04-01,1196.0,1034800.0
H12812-04-01,1612.0,3042000.0
H12901-04-01,1170.0,1133600.0
H12902-04-02,1092.0,1092000.0
H12903-04-01,1924.0,1788800.0
H12904-04-01,1664.0,332800.0
H12905-04-01,2314.0,894400.0
H12905-04-02,416.0,122200.0
H12906-04-01,1872.0,1544400.0
H12907-04-01,1534.0,1851200.0
H12908-04-01,1144.0,202800.0
H12909-04-02,832.0,1336400.0
H12910-04-01,3172.0,2823600.0
H13002-04-01,2392.0,3967600.0
H13003-04-01,832.0,598000.0
H13004-04-01,780.0,972400.0
H13006-04-01,3276.0,3952000.0
H13006-04-02,2236.0,2646800.0
H13006-04-03,624.0,603200.0
H13006-04-04,676.0,254800.0
H13006-04-05,260.0,561600.0
H13006-04-06,832.0,1144000.0
H13007-04-01,1456.0,1856400.0
H13008-04-01,1456.0,1237600.0
H13009-04-01,780.0,1476800.0
H13010-04-01,2418.0,707200.0
H13102-04-01,1456.0,1372800.0
H13103-04-01,1664.0,509600.0
H13104-04-01,2938.0,637000.0
H13105-04-01,3848.0,2126800.0
H13105-04-02,390.0,1001000.0
H13106-04-01,3380.0,416000.0
H13107-04-02,2678.0,1939600.0
H13107-04-03,2912.0,728000.0
H13107-04-04,2080.0,644800.0
H13108-04-01,1872.0,3416400.0
H13108-04-02,1248.0,405600.0
H13109-04-01,676.0,1008800.0
H13111-04-01,2340.0,395200.0
H13202-04-01,234.0,4836000.0
H13203-04-01,1300.0,291200.0
H13204-04-01,156.0,218400.0
H13205-04-02,2288.0,2100800.0
H13205-04-04,1586.0,1229800.0
H13207-04-01,468.0,577200.0
H13208-04-01,104.0,218400.0
H13208-04-02,,
H13209-04-01,1040.0,868400.0
H13210-04-01,,
H13303-04-01,4992.0,1976000.0
H13306-04-01,845.0,956800.0
H13307-04-01,208.0,166400.0
H13307-04-02,299.0,257400.0
H13308-04-01,4654.0,1591200.0
H13309-04-01,1742.0,816400.0
H13310-04-01,4602.0,4050800.0
H13310-04-02,1716.0,868400.0
H13310-04-03,1118.0,1466400.0
H13310-04-04,2132.0,1653600.0
H13310-04-05,2444.0,1170000.0
H13310-04-06,1144.0,2386800.0
H13310-04-07,312.0,223600.0
H13311-04-01,1144.0,686400.0
H14001-04-01,260.0,520000.0
H14002-04-01,52.0,52000.0
H14003-04-01,,
H14003-04-02,52.0,208000.0
H14003-04-03,,
H14004-04-01,416.0,1066000.0
H14004-04-02,312.0,93600.0
H14004-04-03,884.0,390000.0
H14005-04-01,,
H14006-04-01,728.0,655200.0
H14006-04-02,988.0,925600.0
H14007-04-01,988.0,904800.0
H14008-04-01,624.0,598000.0
H14008-04-02,260.0,546000.0
H14009-04-01,104.0,156000.0
H14010-04-01,1508.0,962000.0
H14101-04-01,1560.0,1034800.0
H14104-04-01,832.0,1560000.0
H14106-04-01,104.0,104000.0
H14109-04-01,780.0,650000.0
H14109-04-03,,
H14109-04-04,936.0,1794000.0
H14110-04-01,,
H14111-04-01,364.0,234000.0
H14201-04-01,832.0,993200.0
H14202-04-01,624.0,910000.0
H14203-04-01,104.0,1248000.0
H14206-04-01,676.0,504400.0
H14207-04-01,962.0,993200.0
H14207-04-02,208.0,104000.0
H14207-04-03,624.0,358800.0
H14208-04-01,1768.0,1320800.0
H14209-04-01,897.0,1466400.0
H14210-04-01,1092.0,1809600.0
H14301-04-01,286.0,85800.0
H14301-04-02,780.0,780000.0
H14302-04-01,1144.0,795600.0
H14302-04-02,1248.0,343200.0
H14302-04-03,884.0,478400.0
H14302-04-04,572.0,223600.0
H14303-04-01,1820.0,1669200.0
H14304-04-01,52.0,52000.0
H14304-04-02,988.0,910000.0
H14304-04-03,364.0,145600.0
H14304-04-04,1560.0,1861600.0
H14305-04-01,52.0,104000.0
H14306-04-01,1508.0,1008800.0
H14306-04-02,624.0,426400.0
H14307-04-01,832.0,1534000.0
H14308-04-01,988.0,1534000.0
H14308-04-02,832.0,494000.0
H14309-04-01,1300.0,1138800.0
H14309-04-02,546.0,936000.0
H14309-04-03,832.0,941200.0
H14309-04-04,650.0,1362400.0
H14309-04-05,832.0,1029600.0
H14310-04-01,312.0,2392000.0
H14401-04-01,520.0,436800.0
H14402-04-01,260.0,52000.0
